Mois;Injections nettes RPT Nucléaire (MWh);Injections nettes RPT Thermique à combustible fossile (MWh);Injections nettes RPT  Hydraulique (MWh);Injections nettes RPT  Eolien (MWh);Injections nettes RPT  Solaire (MWh);Injections nettes RPT  Bioénergies (MWh);Injections nettes RPT  NA (MWh);Injections nettes RPT  NR (MWh);Soutirages nettes RPD (MWh);Soutirages bruts des clients directs (MWh);Energie soutirée par le pompage (MWh);Solde des échanges physiques (MWh);Energie soutirée par le stockage (MWh);Pertes sur le réseau de RTE (MWh)
2018-05;30581938.587499;460886.702337;6880271.143125;134378.474834;108699.283;134495.736167;799650.781257;-361.7360000000001;23372541.220899;5416936.844666;639621.8745;8078290.319999999;0.0;1592568.712153968
2018-04;30592859.141335;756722.133999;6183146.742425;158384.004334;92221.313;184345.897332;1019059.110666;385.8339999999999;25475426.515719;5220637.832835;668727.898;5809145.615;0.0;1813186.31553705
2018-03;35678215.544833;3105446.001336;6318732.178072;228203.825164;68738.991;165951.062334;1137565.358331;79826.17800000001;35136149.4219699;5432758.73634;624621.255667;3393410.9140000003;0.0;2195738.811093068
2018-02;36409552.789833;4198298.631666;6526940.845423;195287.751002;47296.523;165996.196334;872105.377168;24317.385000000002;37837027.976961;4968983.936333;475786.102;3128128.583;0.0;2029868.901131975
2018-01;40792988.055835;1625829.422334;6623093.849206;266055.699333;26356.764;118101.393;1670056.743501;53943.223;34810677.423108;5464292.280169;792271.702333;7290535.778000001;0.0;2818647.966598958
2017-12;37382680.159334;4077289.282001;4787833.406242;216282.547502;23825.248;125596.254664;1315078.114501;66595.924;38455498.058043;5320340.105996;684731.956;938989.3140000002;0.0;2595621.502205046
2017-11;30334659.935334;5165284.722665;3609000.324816;175213.790667;42487.582;163461.024;839951.009333;70502.84499999997;33043966.839094;5403990.540664;598316.053667;-548156.5009999998;0.0;1902444.301390003
2017-10;28053906.030166;4661349.658668;2506340.259799;131215.608002;71548.449;106665.758665;884031.962;-88.1310000000001;26006313.354444;5604678.646504;673390.5805;2420796.033;0.0;1709790.980851981
2017-09;29345826.152166;2450108.528666;2840729.182151;107039.980165;81720.019;137474.063666;735005.938658;-153.083;23658968.442346;5535714.136835;475647.42;4558577.745;0.0;1468843.037291004
2017-08;28585312.193166;1489199.245333;3238980.580026;88577.785663;106254.403;128023.366837;534599.560835;24.116;22652956.571871;5176594.08200399;493925.206;4582201.166;0.0;1265294.224985009
2017-07;28158949.644167;2703754.805336;3574590.882202;121440.641334;108694.6770000001;151810.941669;749537.463832;-60.953;23332637.533467;5657145.687334;475013.487;4580072.124;0.0;1523849.270739019
2017-06;26881570.487665;1546718.990998;4622689.253393;94354.068002;107724.479;135605.107168;735146.651001;518.081;23097674.590429;5542582.752666;548970.108;3454420.935;0.0;1480678.73213199
2017-05;30136479.560664;1822520.619;5083591.92032;98526.396334;105392.552;111512.347501;719414.416332;-536.4099999999999;24490558.372243;5579824.012665;651686.549;5871051.797;0.0;1483780.671243018
2017-04;31752167.625837;2838118.011333;3650151.79471;112983.180501;100006.107;106316.677501;608549.894998;149.09;26442118.088789;5350719.412497;576362.323;5388964.389000001;0.0;1410278.168594005
2017-03;34272584.850666;3307745.412;5533764.227553;163198.655502;63347.559;110337.774499;1140054.5975;41405.475999999995;30077650.2599969;5391274.891996;663222.247667;6374595.294;0.0;2125695.859060086
